i_e_op,V_cell_op
1.39E-05,1.502873111
1.39E-05,1.502882512
1.39E-05,1.502891913
1.39E-05,1.502901314
1.39E-05,1.502910715
1.40E-05,1.502920116
1.40E-05,1.502929516
1.40E-05,1.502938917
1.40E-05,1.502948318
1.40E-05,1.502957719
1.41E-05,1.50296712
1.41E-05,1.502976521
1.41E-05,1.502985922
1.41E-05,1.502995323
1.41E-05,1.503004724
1.42E-05,1.503014125
1.42E-05,1.503023526
1.42E-05,1.503032927
1.42E-05,1.503042328
1.42E-05,1.503051729
1.42E-05,1.50306113
1.43E-05,1.50307053
1.43E-05,1.503079931
1.43E-05,1.503089332
1.43E-05,1.503098733
1.43E-05,1.503108134
1.44E-05,1.503117535
1.44E-05,1.503126936
1.44E-05,1.503136337
1.44E-05,1.503145738
1.44E-05,1.503155139
1.45E-05,1.50316454
1.45E-05,1.503173942
1.45E-05,1.503183343
1.45E-05,1.503192744
1.45E-05,1.503202145
1.46E-05,1.503211546
1.46E-05,1.503220947
1.46E-05,1.503230348
1.46E-05,1.503239749
1.46E-05,1.50324915
1.47E-05,1.503258551
1.47E-05,1.503267952
1.47E-05,1.503277353
1.47E-05,1.503286754
1.47E-05,1.503296155
1.48E-05,1.503305557
1.48E-05,1.503314958
1.48E-05,1.503324359
1.48E-05,1.50333376
1.48E-05,1.503343161
1.48E-05,1.503352562
1.49E-05,1.503361963
1.49E-05,1.503371364
1.49E-05,1.503380766
1.49E-05,1.503390167
1.49E-05,1.503399568
1.50E-05,1.503408969
1.50E-05,1.50341837
1.50E-05,1.503427771
1.50E-05,1.503437173
1.50E-05,1.503446574
1.51E-05,1.503455975
1.51E-05,1.503465376
1.51E-05,1.503474777
1.51E-05,1.503484179
1.51E-05,1.50349358
1.52E-05,1.503502981
1.52E-05,1.503512382
1.52E-05,1.503521784
1.52E-05,1.503531185
1.53E-05,1.503540586
1.53E-05,1.503549987
1.53E-05,1.503559389
1.53E-05,1.50356879
1.53E-05,1.503578191
1.54E-05,1.503587592
1.54E-05,1.503596994
1.54E-05,1.503606395
1.54E-05,1.503615796
1.54E-05,1.503625197
1.55E-05,1.503634599
1.55E-05,1.503644
1.55E-05,1.503653401
1.55E-05,1.503662803
1.55E-05,1.503672204
1.56E-05,1.503681605
1.56E-05,1.503691007
1.56E-05,1.503700408
1.56E-05,1.503709809
1.56E-05,1.503719211
1.57E-05,1.503728612
1.57E-05,1.503738014
1.57E-05,1.503747415
1.57E-05,1.503756816
1.57E-05,1.503766218
1.58E-05,1.503775619
1.58E-05,1.503785021
1.58E-05,1.503794422
1.58E-05,1.503803823
1.59E-05,1.503813225
1.59E-05,1.503822626
1.59E-05,1.503832028
1.59E-05,1.503841429
1.59E-05,1.50385083
1.60E-05,1.503860232
1.60E-05,1.503869633
1.60E-05,1.503879035
1.60E-05,1.503888436
1.60E-05,1.503897838
1.61E-05,1.503907239
1.61E-05,1.503916641
1.61E-05,1.503926042
1.61E-05,1.503935444
1.62E-05,1.503944845
1.62E-05,1.503954247
1.62E-05,1.503963648
1.62E-05,1.50397305
1.62E-05,1.503982451
1.63E-05,1.503991853
1.63E-05,1.504001254
1.63E-05,1.504010656
1.63E-05,1.504020057
1.63E-05,1.504029459
1.64E-05,1.504038861
1.64E-05,1.504048262
1.64E-05,1.504057664
1.64E-05,1.504067065
1.65E-05,1.504076467
1.65E-05,1.504085869
1.65E-05,1.50409527
1.65E-05,1.504104672
1.65E-05,1.504114073
1.66E-05,1.504123475
1.66E-05,1.504132877
1.66E-05,1.504142278
1.66E-05,1.50415168
1.67E-05,1.504161082
1.67E-05,1.504170483
1.67E-05,1.504179885
1.67E-05,1.504189286
1.67E-05,1.504198688
1.68E-05,1.50420809
1.68E-05,1.504217492
1.68E-05,1.504226893
1.68E-05,1.504236295
1.69E-05,1.504245697
1.69E-05,1.504255098
1.69E-05,1.5042645
1.69E-05,1.504273902
1.69E-05,1.504283303
1.70E-05,1.504292705
1.70E-05,1.504302107
1.70E-05,1.504311509
1.70E-05,1.50432091
1.71E-05,1.504330312
1.71E-05,1.504339714
1.71E-05,1.504349116
1.71E-05,1.504358518
1.72E-05,1.504367919
1.72E-05,1.504377321
1.72E-05,1.504386723
1.72E-05,1.504396125
1.72E-05,1.504405527
1.73E-05,1.504414928
1.73E-05,1.50442433
1.73E-05,1.504433732
1.73E-05,1.504443134
1.74E-05,1.504452536
1.74E-05,1.504461938
1.74E-05,1.504471339
1.74E-05,1.504480741
1.75E-05,1.504490143
1.75E-05,1.504499545
1.75E-05,1.504508947
1.75E-05,1.504518349
1.75E-05,1.504527751
1.76E-05,1.504537153
1.76E-05,1.504546554
1.76E-05,1.504555956
1.76E-05,1.504565358
1.77E-05,1.50457476
