i_e_max,v_e_max
0.1,1.777
0.2,1.939
0.3,2.053
0.4,2.145
0.5,2.231
0.6,2.305
0.7,2.373
0.8,2.45
0.9,2.511
1,2.622
1.1,2.704
1.2,2.792
1.3,2.873
1.4,2.955
1.5,3.043
1.6,3.124
1.7,3.206
1.8,3.294
1.9,3.376
2,3.464
2.1,3.545
2.2,3.627
2.3,3.715
2.4,3.797
2.5,3.878
2.6,3.966
2.7,4.048
2.8,4.129
2.9,4.218
3,4.292
